id,title,abstract,authors,date,categories,comment,pdf_url
2503.16423v1,GAEA: A Geolocation Aware Conversational Model,"Image geolocalization, in which, traditionally, an AI model predicts the
precise GPS coordinates of an image is a challenging task with many downstream
applications. However, the user cannot utilize the model to further their
knowledge other than the GPS coordinate; the model lacks an understanding of
the location and the conversational ability to communicate with the user. In
recent days, with tremendous progress of large multimodal models (LMMs)
proprietary and open-source researchers have attempted to geolocalize images
via LMMs. However, the issues remain unaddressed; beyond general tasks, for
more specialized downstream tasks, one of which is geolocalization, LMMs
struggle. In this work, we propose to solve this problem by introducing a
conversational model GAEA that can provide information regarding the location
of an image, as required by a user. No large-scale dataset enabling the
training of such a model exists. Thus we propose a comprehensive dataset GAEA
with 800K images and around 1.6M question answer pairs constructed by
leveraging OpenStreetMap (OSM) attributes and geographical context clues. For
quantitative evaluation, we propose a diverse benchmark comprising 4K
image-text pairs to evaluate conversational capabilities equipped with diverse
question types. We consider 11 state-of-the-art open-source and proprietary
LMMs and demonstrate that GAEA significantly outperforms the best open-source
model, LLaVA-OneVision by 25.69% and the best proprietary model, GPT-4o by
8.28%. Our dataset, model and codes are available","['Ron Campos', 'Ashmal Vayani', 'Parth Parag Kulkarni', 'Rohit Gupta', 'Aritra Dutta', 'Mubarak Shah']",2025-03-20,"['cs.CV', 'cs.LG', 'I.4; I.2.7; I.5']","The dataset and code used in this submission is available at:
  https://ucf-crcv.github.io/GAEA/",http://arxiv.org/pdf/2503.16423v1
2503.16421v1,MagicMotion: Controllable Video Generation with Dense-to-Sparse Trajectory Guidance,"Recent advances in video generation have led to remarkable improvements in
visual quality and temporal coherence. Upon this, trajectory-controllable video
generation has emerged to enable precise object motion control through
explicitly defined spatial paths. However, existing methods struggle with
complex object movements and multi-object motion control, resulting in
imprecise trajectory adherence, poor object consistency, and compromised visual
quality. Furthermore, these methods only support trajectory control in a single
format, limiting their applicability in diverse scenarios. Additionally, there
is no publicly available dataset or benchmark specifically tailored for
trajectory-controllable video generation, hindering robust training and
systematic evaluation. To address these challenges, we introduce MagicMotion, a
novel image-to-video generation framework that enables trajectory control
through three levels of conditions from dense to sparse: masks, bounding boxes,
and sparse boxes. Given an input image and trajectories, MagicMotion seamlessly
animates objects along defined trajectories while maintaining object
consistency and visual quality. Furthermore, we present MagicData, a
large-scale trajectory-controlled video dataset, along with an automated
pipeline for annotation and filtering. We also introduce MagicBench, a
comprehensive benchmark that assesses both video quality and trajectory control
accuracy across different numbers of objects. Extensive experiments demonstrate
that MagicMotion outperforms previous methods across various metrics. Our
project page are publicly available at
https://quanhaol.github.io/magicmotion-site.","['Quanhao Li', 'Zhen Xing', 'Rui Wang', 'Hui Zhang', 'Qi Dai', 'Zuxuan Wu']",2025-03-20,"['cs.CV', 'cs.AI', 'cs.LG', 'cs.MM']",,http://arxiv.org/pdf/2503.16421v1
2503.16418v1,InfiniteYou: Flexible Photo Recrafting While Preserving Your Identity,"Achieving flexible and high-fidelity identity-preserved image generation
remains formidable, particularly with advanced Diffusion Transformers (DiTs)
like FLUX. We introduce InfiniteYou (InfU), one of the earliest robust
frameworks leveraging DiTs for this task. InfU addresses significant issues of
existing methods, such as insufficient identity similarity, poor text-image
alignment, and low generation quality and aesthetics. Central to InfU is
InfuseNet, a component that injects identity features into the DiT base model
via residual connections, enhancing identity similarity while maintaining
generation capabilities. A multi-stage training strategy, including pretraining
and supervised fine-tuning (SFT) with synthetic single-person-multiple-sample
(SPMS) data, further improves text-image alignment, ameliorates image quality,
and alleviates face copy-pasting. Extensive experiments demonstrate that InfU
achieves state-of-the-art performance, surpassing existing baselines. In
addition, the plug-and-play design of InfU ensures compatibility with various
existing methods, offering a valuable contribution to the broader community.","['Liming Jiang', 'Qing Yan', 'Yumin Jia', 'Zichuan Liu', 'Hao Kang', 'Xin Lu']",2025-03-20,"['cs.CV', 'cs.LG']","Project page: https://bytedance.github.io/InfiniteYou/ Code and
  model: https://github.com/bytedance/InfiniteYou",http://arxiv.org/pdf/2503.16418v1
2503.16416v1,Survey on Evaluation of LLM-based Agents,"The emergence of LLM-based agents represents a paradigm shift in AI, enabling
autonomous systems to plan, reason, use tools, and maintain memory while
interacting with dynamic environments. This paper provides the first
comprehensive survey of evaluation methodologies for these increasingly capable
agents. We systematically analyze evaluation benchmarks and frameworks across
four critical dimensions: (1) fundamental agent capabilities, including
planning, tool use, self-reflection, and memory; (2) application-specific
benchmarks for web, software engineering, scientific, and conversational
agents; (3) benchmarks for generalist agents; and (4) frameworks for evaluating
agents. Our analysis reveals emerging trends, including a shift toward more
realistic, challenging evaluations with continuously updated benchmarks. We
also identify critical gaps that future research must address-particularly in
assessing cost-efficiency, safety, and robustness, and in developing
fine-grained, and scalable evaluation methods. This survey maps the rapidly
evolving landscape of agent evaluation, reveals the emerging trends in the
field, identifies current limitations, and proposes directions for future
research.","['Asaf Yehudai', 'Lilach Eden', 'Alan Li', 'Guy Uziel', 'Yilun Zhao', 'Roy Bar-Haim', 'Arman Cohan', 'Michal Shmueli-Scheuer']",2025-03-20,"['cs.AI', 'cs.CL', 'cs.LG']",,http://arxiv.org/pdf/2503.16416v1
2503.16412v1,DreamTexture: Shape from Virtual Texture with Analysis by Augmentation,"DreamFusion established a new paradigm for unsupervised 3D reconstruction
from virtual views by combining advances in generative models and
differentiable rendering. However, the underlying multi-view rendering, along
with supervision from large-scale generative models, is computationally
expensive and under-constrained. We propose DreamTexture, a novel
Shape-from-Virtual-Texture approach that leverages monocular depth cues to
reconstruct 3D objects. Our method textures an input image by aligning a
virtual texture with the real depth cues in the input, exploiting the inherent
understanding of monocular geometry encoded in modern diffusion models. We then
reconstruct depth from the virtual texture deformation with a new conformal map
optimization, which alleviates memory-intensive volumetric representations. Our
experiments reveal that generative models possess an understanding of monocular
shape cues, which can be extracted by augmenting and aligning texture cues -- a
novel monocular reconstruction paradigm that we call Analysis by Augmentation.","['Ananta R. Bhattarai', 'Xingzhe He', 'Alla Sheffer', 'Helge Rhodin']",2025-03-20,"['cs.CV', 'cs.AI', 'cs.LG']",Project page: https://anantarb.github.io/dreamtexture/,http://arxiv.org/pdf/2503.16412v1
2503.16408v1,RoboFactory: Exploring Embodied Agent Collaboration with Compositional Constraints,"Designing effective embodied multi-agent systems is critical for solving
complex real-world tasks across domains. Due to the complexity of multi-agent
embodied systems, existing methods fail to automatically generate safe and
efficient training data for such systems. To this end, we propose the concept
of compositional constraints for embodied multi-agent systems, addressing the
challenges arising from collaboration among embodied agents. We design various
interfaces tailored to different types of constraints, enabling seamless
interaction with the physical world. Leveraging compositional constraints and
specifically designed interfaces, we develop an automated data collection
framework for embodied multi-agent systems and introduce the first benchmark
for embodied multi-agent manipulation, RoboFactory. Based on RoboFactory
benchmark, we adapt and evaluate the method of imitation learning and analyzed
its performance in different difficulty agent tasks. Furthermore, we explore
the architectures and training strategies for multi-agent imitation learning,
aiming to build safe and efficient embodied multi-agent systems.","['Yiran Qin', 'Li Kang', 'Xiufeng Song', 'Zhenfei Yin', 'Xiaohong Liu', 'Xihui Liu', 'Ruimao Zhang', 'Lei Bai']",2025-03-20,"['cs.RO', 'cs.AI', 'cs.CV', 'cs.LG']",Project page: https://iranqin.github.io/robofactory/,http://arxiv.org/pdf/2503.16408v1
2503.16402v1,The Emperor's New Clothes in Benchmarking? A Rigorous Examination of Mitigation Strategies for LLM Benchmark Data Contamination,"Benchmark Data Contamination (BDC)-the inclusion of benchmark testing samples
in the training set-has raised increasing concerns in Large Language Model
(LLM) evaluation, leading to falsely inflated performance estimates and
undermining evaluation reliability. To address this, researchers have proposed
various mitigation strategies to update existing benchmarks, including
modifying original questions or generating new ones based on them. However, a
rigorous examination of the effectiveness of these mitigation strategies
remains lacking. In this paper, we design a systematic and controlled pipeline
along with two novel metrics-fidelity and contamination resistance-to provide a
fine-grained and comprehensive assessment of existing BDC mitigation
strategies. Previous assessment methods, such as accuracy drop and accuracy
matching, focus solely on aggregate accuracy, often leading to incomplete or
misleading conclusions. Our metrics address this limitation by emphasizing
question-level evaluation result matching. Extensive experiments with 10 LLMs,
5 benchmarks, 20 BDC mitigation strategies, and 2 contamination scenarios
reveal that no existing strategy significantly improves resistance over the
vanilla case (i.e., no benchmark update) across all benchmarks, and none
effectively balances fidelity and contamination resistance. These findings
underscore the urgent need for designing more effective BDC mitigation
strategies. Our code repository is available at
https://github.com/ASTRAL-Group/BDC_mitigation_assessment.","['Yifan Sun', 'Han Wang', 'Dongbai Li', 'Gang Wang', 'Huan Zhang']",2025-03-20,"['cs.AI', 'cs.CL', 'cs.LG']",23 pages,http://arxiv.org/pdf/2503.16402v1
2503.16401v1,Exploring the Hidden Reasoning Process of Large Language Models by Misleading Them,"Large language models (LLMs) and Vision language models (VLMs) have been able
to perform various forms of reasoning tasks in a wide range of scenarios, but
are they truly engaging in task abstraction and rule-based reasoning beyond
mere memorization and pattern matching? To answer this question, we propose a
novel experimental approach, Misleading Fine-Tuning (MisFT), to examine whether
LLMs/VLMs perform abstract reasoning by altering their original understanding
of fundamental rules. In particular, by constructing a dataset with math
expressions that contradict correct operation principles, we fine-tune the
model to learn those contradictory rules and assess its generalization ability
on different test domains. Through a series of experiments, we find that
current LLMs/VLMs are capable of effectively applying contradictory rules to
solve practical math word problems and math expressions represented by images,
implying the presence of an internal mechanism that abstracts before reasoning.","['Guanyu Chen', 'Peiyang Wang', 'Tianren Zhang', 'Feng Chen']",2025-03-20,['cs.LG'],,http://arxiv.org/pdf/2503.16401v1
2503.16400v1,ScalingNoise: Scaling Inference-Time Search for Generating Infinite Videos,"Video diffusion models (VDMs) facilitate the generation of high-quality
videos, with current research predominantly concentrated on scaling efforts
during training through improvements in data quality, computational resources,
and model complexity. However, inference-time scaling has received less
attention, with most approaches restricting models to a single generation
attempt. Recent studies have uncovered the existence of ""golden noises"" that
can enhance video quality during generation. Building on this, we find that
guiding the scaling inference-time search of VDMs to identify better noise
candidates not only evaluates the quality of the frames generated in the
current step but also preserves the high-level object features by referencing
the anchor frame from previous multi-chunks, thereby delivering long-term
value. Our analysis reveals that diffusion models inherently possess flexible
adjustments of computation by varying denoising steps, and even a one-step
denoising approach, when guided by a reward signal, yields significant
long-term benefits. Based on the observation, we proposeScalingNoise, a
plug-and-play inference-time search strategy that identifies golden initial
noises for the diffusion sampling process to improve global content consistency
and visual diversity. Specifically, we perform one-step denoising to convert
initial noises into a clip and subsequently evaluate its long-term value,
leveraging a reward model anchored by previously generated content. Moreover,
to preserve diversity, we sample candidates from a tilted noise distribution
that up-weights promising noises. In this way, ScalingNoise significantly
reduces noise-induced errors, ensuring more coherent and spatiotemporally
consistent video generation. Extensive experiments on benchmark datasets
demonstrate that the proposed ScalingNoise effectively improves long video
generation.","['Haolin Yang', 'Feilong Tang', 'Ming Hu', 'Yulong Li', 'Junjie Guo', 'Yexin Liu', 'Zelin Peng', 'Junjun He', 'Zongyuan Ge', 'Imran Razzak']",2025-03-20,['cs.LG'],,http://arxiv.org/pdf/2503.16400v1
2503.16398v1,The global convergence time of stochastic gradient descent in non-convex landscapes: Sharp estimates via large deviations,"In this paper, we examine the time it takes for stochastic gradient descent
(SGD) to reach the global minimum of a general, non-convex loss function. We
approach this question through the lens of randomly perturbed dynamical systems
and large deviations theory, and we provide a tight characterization of the
global convergence time of SGD via matching upper and lower bounds. These
bounds are dominated by the most ""costly"" set of obstacles that the algorithm
may need to overcome to reach a global minimizer from a given initialization,
coupling in this way the global geometry of the underlying loss landscape with
the statistics of the noise entering the process. Finally, motivated by
applications to the training of deep neural networks, we also provide a series
of refinements and extensions of our analysis for loss functions with shallow
local minima.","['Waïss Azizian', 'Franck Iutzeler', 'Jérôme Malick', 'Panayotis Mertikopoulos']",2025-03-20,"['math.OC', 'cs.LG', 'Primary 90C15, 90C26, 60F10, secondary 90C30, 68Q32']","62 pages, 5 figures",http://arxiv.org/pdf/2503.16398v1
